,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
21,-110894429409730.81,-292261784391624.0,-8627713240556.887,-0.1875,-1.4893940351186078e+28,-3.2439704788067716e+28,-8.722650380830479e+26,17592186044416.0,0.21978829538484596,0.06122580202274819,0.5858585858585859,0.39433349116905797,0.5,-0.2,0.37,0.3,1.2
22,-84246046426197.19,41179753995140.695,-2425712594616.834,-0.0078125,-9.538002210925834e+27,3.966394521123989e+27,-1.909969771366552e+26,-1099511627776.0,0.22805827780903798,0.5585267965204846,0.9595959595959597,0.7393563767951953,0.5,-0.2,0.37,0.3,1.2
23,-79658690287951.44,-248290866216650.2,-8172749738561.43,0.0625,-7.764468739140113e+27,-2.3833483448785863e+28,-8.853535291020651e+26,4398046511104.0,0.2367876402823647,0.16317622135012544,0.494949494949495,0.10933808886418794,0.5,-0.2,0.37,0.3,1.2
24,-135466416740601.47,224716996928921.53,1440357176364.6895,0.09375,-2.2437528538152238e+28,2.251741812371265e+28,2.3677621412062194e+25,-893353197568.0,0.23830025370832136,0.8918023442676006,0.6666666666666667,0.10862958511637749,0.5,-0.2,0.37,0.3,1.2
25,-100357215941875.25,231607889672520.47,2353198662355.6934,0.0625,-1.7339531057481872e+28,2.1616460257252036e+28,1.0667202508935621e+26,-6047313952768.0,0.2395546576593442,0.8700872514498313,0.5454545454545455,0.797534854681939,0.5,-0.2,0.37,0.3,1.2
26,-95531447627164.53,52025788654533.95,-1986346053042.8086,0.0078125,-1.009506408240431e+28,4.49741781168232e+27,-1.6495839621650823e+26,-2199023255552.0,0.26638343590243696,0.66972486428962,0.5353535353535354,0.5443615841433365,0.5,-0.2,0.37,0.3,1.2
27,-130609974616518.0,86863469669411.34,-1745500078566.3716,0.015625,-1.4762467362740984e+28,9.148710151307635e+27,-1.4884745550515112e+26,-1099511627776.0,0.27136337771491337,0.755016139552997,0.4545454545454546,0.506967370939526,0.5,-0.2,0.37,0.3,1.2
28,-120566250954751.06,206662769307613.22,1530536569273.92,-0.015625,-1.940864217505334e+28,1.922642543620629e+28,2.4670605018839623e+25,-274877906944.0,0.2737528107447568,0.8741728998203406,0.797979797979798,0.6932176222295438,0.5,-0.2,0.37,0.3,1.2
29,-51521505701800.11,8244905171505.439,-2215404495378.316,-0.0078125,-5.488234673793085e+27,-9.28277849598769e+25,-1.8154220818553877e+26,-1099511627776.0,0.3151068462467508,0.48638998161057656,0.33333333333333337,0.5533203978611451,0.5,-0.2,0.37,0.3,1.2
30,-53028950228721.8,-246048502255840.25,-6649853459474.914,-0.125,-4.875930053259054e+27,-2.173011608626249e+28,-5.786530538582313e+26,0.0,0.315232057917591,0.10660401066045916,0.8585858585858587,0.6996853650159583,0.5,-0.2,0.37,0.3,1.2
31,-101524090648655.0,57297487481793.22,-1265401858811.372,0.0,-1.0634873873719783e+28,4.972841755425668e+27,-1.0057254864438665e+26,0.0,0.3314427392882169,0.7181772733759362,0.6464646464646465,0.1457235680366858,0.5,-0.2,0.37,0.3,1.2
32,-13489101172027.729,-29778629631303.527,-2224274222341.6294,0.0,-1.7191659760311906e+27,-3.863009885630076e+27,-1.8042880527723394e+26,-1099511627776.0,0.35166664236291834,0.36677021953894456,0.5555555555555556,0.6122958568976175,0.5,-0.2,0.37,0.3,1.2
33,-74279255610343.62,218282675984706.84,3032204567436.414,0.03125,-1.4333997744655287e+28,2.013513441331412e+28,1.633248352301369e+26,-3298534883328.0,0.35860171318891865,0.8407863931737927,0.6363636363636365,0.6700713667444087,0.5,-0.2,0.37,0.3,1.2
34,-51242017583866.46,296662811894685.6,2467583618806.6855,-0.0625,-1.1161526363247518e+28,3.236792343694387e+28,2.6004130664824674e+26,21990232555520.0,0.35937230017747435,0.9354326432057172,0.3535353535353536,0.5801846366302521,0.5,-0.2,0.37,0.3,1.2
35,-119705285582332.31,75232513654974.42,-1019233098315.6143,-0.0078125,-1.3591590983321236e+28,7.906549486548993e+27,-7.756317016625723e+25,-1099511627776.0,0.3935012235456602,0.7610261527990956,0.8484848484848485,0.027155896775760302,0.5,-0.2,0.37,0.3,1.2
36,10859001507350.838,-134180611848510.28,77829605315479.77,-0.0234375,1.850185244696881e+27,-1.1910918131788485e+28,4.2981282201531027e+27,0.0,0.3942730135696773,0.16205101258440602,0.04040404040404041,0.5102141981649565,0.5,-0.2,0.37,0.3,1.2
37,-10581588074355.506,-34023549126558.35,-886867824760.0,0.0,-1.6864959497721965e+27,-3.7016883395634336e+27,-3.7442037760287e+26,-2199023255552.0,0.4183316800446086,0.3209920657620852,0.020202020202020204,0.5320869861868046,0.5,-0.2,0.37,0.3,1.2
38,11595234264840.672,-205260612882067.12,-7146662822224.605,0.03125,3.813072822765997e+27,-1.66939932675105e+28,-5.1309856602023155e+26,0.0,0.4189074967270023,0.12304390847414648,0.9393939393939394,0.2309779599187028,0.5,-0.2,0.37,0.3,1.2
39,-35352061320853.41,-7980747857877.994,-2159195846941.6816,-0.0078125,-3.5869000398954916e+27,-1.992967589743541e+27,-1.8273703729946774e+26,-1099511627776.0,0.4295327701431379,0.47705598967117174,0.19191919191919193,0.6137185228421029,0.5,-0.2,0.37,0.3,1.2
40,18114741026775.965,-61551320483669.75,-2055425568779.4106,-0.0078125,1.1265659870501169e+27,-6.73939844988885e+27,-1.4977220409976847e+26,-1099511627776.0,0.4605850017192565,0.29415530925861044,0.3535353535353536,0.040349630109017987,0.5,-0.2,0.37,0.3,1.2
41,-25715106054011.44,-283909761055905.0,-7012559054479.09,-0.1875,-9.941894796905946e+26,-2.7346499974341086e+28,-6.769478571232493e+26,-8796093022208.0,0.4657915822910054,0.062435576997452225,0.6060606060606061,0.3331477680412417,0.5,-0.2,0.37,0.3,1.2
42,-51938540896917.305,7817164961452.794,-1370629090209.0327,-0.015625,-5.16990619730727e+27,-4.924818459000305e+26,-1.0021662373120061e+26,-1099511627776.0,0.48244940428236954,0.6011902187607682,0.36363636363636365,0.7342984434796563,0.5,-0.2,0.37,0.3,1.2
43,-59190253751180.6,15067760896030.918,-1369512170523.2646,0.0078125,-6.153931832612567e+27,4.914420949104682e+26,-1.0011492923640145e+26,-1099511627776.0,0.48541952019053736,0.6318052928557021,0.5050505050505051,0.17073498615418198,0.5,-0.2,0.37,0.3,1.2
44,42280886651692.164,-85171478904199.94,-2601412773165.1626,0.0,3.8130992042258974e+27,-9.371245421610837e+27,-2.0445844955356285e+26,0.0,0.5261021808923669,0.23865964043753335,0.23232323232323235,0.4810547718995301,0.5,-0.2,0.37,0.3,1.2
45,41660891986374.67,-84811242890055.9,-2341654121992.0283,0.0078125,3.9227394795822476e+27,-9.517890844349202e+27,-1.6745330217154598e+26,-1099511627776.0,0.5288346693925853,0.2581651495343566,0.7777777777777778,0.803928366984203,0.5,-0.2,0.37,0.3,1.2
46,44479671618080.35,-87341853564133.8,-2629823079619.6553,0.0,4.0065813671230764e+27,-9.559115544881981e+27,-2.1007048917959483e+26,-2199023255552.0,0.5298379487940962,0.22928266101715572,0.13131313131313133,0.24229340909587227,0.5,-0.2,0.37,0.3,1.2
47,22066786035873.566,-65088715781814.84,-2470075279731.645,0.0078125,1.808495834812239e+27,-7.378261109255618e+27,-1.928393924951222e+26,0.0,0.5421141442659483,0.35484244450091323,0.29292929292929293,0.13747938631734158,0.5,-0.2,0.37,0.3,1.2
48,53264626072498.516,-221092293098918.94,-6659482810775.529,0.0625,7.918715124429716e+27,-1.8477695292395905e+28,-4.6770775200629244e+26,-6597069766656.0,0.5492638380340178,0.08901342928320749,0.8686868686868687,0.22552859248130425,0.5,-0.2,0.37,0.3,1.2
49,-36686636722072.875,-7203430927356.25,-1601937376243.7915,-0.0078125,-3.8624478240622086e+27,-1.7897843682788484e+27,-1.1037247459744332e+26,-1099511627776.0,0.551053295269005,0.5692666853664463,0.29292929292929293,0.04634894455570804,0.5,-0.2,0.37,0.3,1.2
50,-7968540488499.968,108302610698486.72,2997882587329.5205,0.046875,-5.426787721901876e+27,6.565272951374798e+27,1.0480075634787931e+26,-3023656976384.0,0.5515842599617635,0.7405262510311926,0.30303030303030304,0.18086674596618368,0.5,-0.2,0.37,0.3,1.2
51,-12572700333719.36,-30702046009503.133,-2217258682450.514,-0.0078125,-1.0419632099326895e+27,-4.538255492729888e+27,-1.8238596427592324e+26,0.0,0.5541745867661518,0.48922733285768244,0.24242424242424243,0.3735275487332036,0.5,-0.2,0.37,0.3,1.2
52,20247469544084.793,-63561464371529.16,-2178010198228.9097,-0.015625,2.188542385716438e+27,-7.77689127345461e+27,-1.742557792003272e+26,-2199023255552.0,0.5576393562949337,0.37262288751975425,0.48484848484848486,0.570377380391174,0.5,-0.2,0.37,0.3,1.2
53,81208128343126.44,-123570439370725.56,-3129693998074.1655,0.0078125,6.152147851353654e+27,-1.1665615104144573e+28,-2.4913741414757982e+26,-2199023255552.0,0.5672209159372534,0.1870743076932634,0.30303030303030304,0.6832752061877085,0.5,-0.2,0.37,0.3,1.2
54,11639295195719.031,-55017600434118.46,-2113699787274.1396,-0.0078125,7.817148328600996e+26,-6.383222754560874e+27,-1.61096745237726e+26,-1099511627776.0,0.5708566334019152,0.41267924880470336,0.26262626262626265,0.9967447377204013,0.5,-0.2,0.37,0.3,1.2
55,38273793374469.21,-81401929539875.11,-2363868860267.439,0.0,3.1080474676888154e+27,-8.701281063357002e+27,-1.6937107127031327e+26,-2199023255552.0,0.5749243810093754,0.27754596882190147,0.14141414141414144,0.732386377947774,0.5,-0.2,0.37,0.3,1.2
56,67871494744465.77,-110685104959883.86,-2678394810255.151,0.0,5.279185827069264e+27,-1.0819775857140515e+28,-2.220146368672502e+26,0.0,0.5899254959694145,0.19819866608410358,0.5656565656565657,0.3429266254835317,0.5,-0.2,0.37,0.3,1.2
57,28933114462383.79,113958982878852.9,3417331077776.09,-0.0625,-8.573225783701892e+26,6.54205422657546e+27,1.8910037967770157e+26,4398046511104.0,0.6143058034163194,0.7239422076319195,0.8787878787878789,0.6199194099334501,0.5,-0.2,0.37,0.3,1.2
58,61207655888372.83,-233465648132147.66,-7892365109515.789,-0.0625,9.18151624189993e+27,-2.0025513179516607e+28,-6.54145832790966e+26,0.0,0.6387321753560478,0.15787693064629726,0.9595959595959597,0.09672575622576562,0.5,-0.2,0.37,0.3,1.2
